"Site ID","Sector ID","Antenna ID","Port Name","Downlink","Uplink"
"Site_108","3","3","Port 2","True","True"
"Site_1080","1","1","Port 1","False","False"
"Site_1080","1","1","Port 2","True","True"
"Site_1080","2","2","Port 1","False","False"
"Site_1080","2","2","Port 2","True","True"
"Site_1080","3","3","Port 1","False","False"
"Site_1080","3","3","Port 2","True","True"
"Site_1081","1","1","Port 1","False","False"
"Site_1081","1","1","Port 2","True","True"
"Site_1081","2","2","Port 1","False","False"
"Site_1081","2","2","Port 2","True","True"
"Site_1081","3","3","Port 1","False","False"
"Site_1081","3","3","Port 2","True","True"
"Site_1082","1","1","Port 1","False","False"
"Site_1082","1","1","Port 2","True","True"
"Site_1082","2","2","Port 1","False","False"
"Site_1082","2","2","Port 2","True","True"
"Site_1082","3","3","Port 1","False","False"
"Site_1082","3","3","Port 2","True","True"
"Site_1083","1","1","Port 1","False","False"
"Site_1083","1","1","Port 2","True","True"
"Site_1083","2","2","Port 1","False","False"
"Site_1083","2","2","Port 2","True","True"
"Site_1083","3","3","Port 1","False","False"
"Site_1083","3","3","Port 2","True","True"
"Site_1084","1","1","Port 1","False","False"
"Site_1084","1","1","Port 2","True","True"
"Site_1084","2","2","Port 1","False","False"
"Site_1084","2","2","Port 2","True","True"
"Site_1084","3","3","Port 1","False","False"
"Site_1084","3","3","Port 2","True","True"
"Site_1085","1","1","Port 1","False","False"
"Site_1085","1","1","Port 2","True","True"
"Site_1085","2","2","Port 1","False","False"
"Site_1085","2","2","Port 2","True","True"
"Site_1085","3","3","Port 1","False","False"
"Site_1085","3","3","Port 2","True","True"
"Site_1086","1","1","Port 1","False","False"
"Site_1086","1","1","Port 2","True","True"
"Site_1086","2","2","Port 1","False","False"
"Site_1086","2","2","Port 2","True","True"
"Site_1086","3","3","Port 1","False","False"
"Site_1086","3","3","Port 2","True","True"
"Site_1087","1","1","Port 1","False","False"
"Site_1087","1","1","Port 2","True","True"
"Site_1087","2","2","Port 1","False","False"
"Site_1087","2","2","Port 2","True","True"
"Site_1087","3","3","Port 1","False","False"
"Site_1087","3","3","Port 2","True","True"
"Site_1088","1","1","Port 1","False","False"
"Site_1088","1","1","Port 2","True","True"
"Site_1088","2","2","Port 1","False","False"
"Site_1088","2","2","Port 2","True","True"
"Site_1088","3","3","Port 1","False","False"
"Site_1088","3","3","Port 2","True","True"
"Site_1089","1","1","Port 1","False","False"
"Site_1089","1","1","Port 2","True","True"
"Site_1089","2","2","Port 1","False","False"
"Site_1089","2","2","Port 2","True","True"
"Site_1089","3","3","Port 1","False","False"
"Site_1089","3","3","Port 2","True","True"
"Site_109","1","1","Port 1","False","False"
"Site_109","1","1","Port 2","True","True"
"Site_109","2","2","Port 1","False","False"
"Site_109","2","2","Port 2","True","True"
"Site_109","3","3","Port 1","False","False"
"Site_109","3","3","Port 2","True","True"
"Site_1090","1","1","Port 1","False","False"
"Site_1090","1","1","Port 2","True","True"
"Site_1090","2","2","Port 1","False","False"
"Site_1090","2","2","Port 2","True","True"
"Site_1090","3","3","Port 1","False","False"
"Site_1090","3","3","Port 2","True","True"
"Site_1091","1","1","Port 1","False","False"
"Site_1091","1","1","Port 2","True","True"
"Site_1091","2","2","Port 1","False","False"
"Site_1091","2","2","Port 2","True","True"
"Site_1091","3","3","Port 1","False","False"
"Site_1091","3","3","Port 2","True","True"
"Site_1092","1","1","Port 1","False","False"
"Site_1092","1","1","Port 2","True","True"
"Site_1092","2","2","Port 1","False","False"
"Site_1092","2","2","Port 2","True","True"
"Site_1092","3","3","Port 1","False","False"
"Site_1092","3","3","Port 2","True","True"
"Site_1093","1","1","Port 1","False","False"
"Site_1093","1","1","Port 2","True","True"
"Site_1093","2","2","Port 1","False","False"
"Site_1093","2","2","Port 2","True","True"
"Site_1093","3","3","Port 1","False","False"
"Site_1093","3","3","Port 2","True","True"
"Site_1094","1","1","Port 1","False","False"
"Site_1094","1","1","Port 2","True","True"
"Site_1094","2","2","Port 1","False","False"
"Site_1094","2","2","Port 2","True","True"
"Site_1094","3","3","Port 1","False","False"
"Site_1094","3","3","Port 2","True","True"
"Site_1095","1","1","Port 1","False","False"
"Site_1095","1","1","Port 2","True","True"
"Site_1095","2","2","Port 1","False","False"
"Site_1095","2","2","Port 2","True","True"
"Site_1095","3","3","Port 1","False","False"
"Site_1095","3","3","Port 2","True","True"
"Site_1096","1","1","Port 1","False","False"
"Site_1096","1","1","Port 2","True","True"
"Site_1096","2","2","Port 1","False","False"
"Site_1096","2","2","Port 2","True","True"
"Site_1096","3","3","Port 1","False","False"
"Site_1096","3","3","Port 2","True","True"
"Site_1097","1","1","Port 1","False","False"
