"Site ID","BTS Name","MCC","MNC","Maximum Pooled Throughput (Mbps)","eNodeB ID","Base Station Type"
"Site_1292","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1293","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1294","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1295","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1296","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1297","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1298","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1299","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_13","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_130","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1300","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1301","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1302","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1303","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1304","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1305","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1306","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1307","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1308","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1309","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_131","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1310","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1311","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1312","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1313","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1314","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1315","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1316","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1317","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1318","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1319","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_132","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1320","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1321","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1322","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1323","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1324","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1325","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1326","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1327","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1328","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1329","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_133","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1330","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1331","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1332","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1333","LTE FDD","0","0","100","","LTE FDD_BTS_1"
