"Site ID","Sector ID","Antenna ID","MIMO Group","Horizontal Beamwidth","Vertical Beamwidth","Link Configuration ID","Cable Length (m)","Power Split (%)","Downlink Beamforming Configuration","Uplink Beamforming Configuration"
"Site_1068","1","1","1","65","62","Default","25","100","None","None"
"Site_1068","2","2","1","65","62","Default","25","100","None","None"
"Site_1068","3","3","1","65","62","Default","25","100","None","None"
"Site_1069","1","1","1","65","62","Default","25","100","None","None"
"Site_1069","2","2","1","65","62","Default","25","100","None","None"
"Site_1069","3","3","1","65","62","Default","25","100","None","None"
"Site_107","1","1","1","65","62","Default","25","100","None","None"
"Site_107","2","2","1","65","62","Default","25","100","None","None"
"Site_107","3","3","1","65","62","Default","25","100","None","None"
"Site_1070","1","1","1","65","62","Default","25","100","None","None"
"Site_1070","2","2","1","65","62","Default","25","100","None","None"
"Site_1070","3","3","1","65","62","Default","25","100","None","None"
"Site_1071","1","1","1","65","62","Default","25","100","None","None"
"Site_1071","2","2","1","65","62","Default","25","100","None","None"
"Site_1071","3","3","1","65","62","Default","25","100","None","None"
"Site_1072","1","1","1","65","62","Default","25","100","None","None"
"Site_1072","2","2","1","65","62","Default","25","100","None","None"
"Site_1072","3","3","1","65","62","Default","25","100","None","None"
"Site_1073","1","1","1","65","62","Default","25","100","None","None"
"Site_1073","2","2","1","65","62","Default","25","100","None","None"
"Site_1073","3","3","1","65","62","Default","25","100","None","None"
"Site_1074","1","1","1","65","62","Default","25","100","None","None"
"Site_1074","2","2","1","65","62","Default","25","100","None","None"
"Site_1074","3","3","1","65","62","Default","25","100","None","None"
"Site_1075","1","1","1","65","62","Default","25","100","None","None"
"Site_1075","2","2","1","65","62","Default","25","100","None","None"
"Site_1075","3","3","1","65","62","Default","25","100","None","None"
"Site_1076","1","1","1","65","62","Default","25","100","None","None"
"Site_1076","2","2","1","65","62","Default","25","100","None","None"
"Site_1076","3","3","1","65","62","Default","25","100","None","None"
"Site_1077","1","1","1","65","62","Default","25","100","None","None"
"Site_1077","2","2","1","65","62","Default","25","100","None","None"
"Site_1077","3","3","1","65","62","Default","25","100","None","None"
"Site_1078","1","1","1","65","62","Default","25","100","None","None"
"Site_1078","2","2","1","65","62","Default","25","100","None","None"
"Site_1078","3","3","1","65","62","Default","25","100","None","None"
"Site_1079","1","1","1","65","62","Default","25","100","None","None"
"Site_1079","2","2","1","65","62","Default","25","100","None","None"
"Site_1079","3","3","1","65","62","Default","25","100","None","None"
"Site_108","1","1","1","65","62","Default","25","100","None","None"
"Site_108","2","2","1","65","62","Default","25","100","None","None"
"Site_108","3","3","1","65","62","Default","25","100","None","None"
"Site_1080","1","1","1","65","62","Default","25","100","None","None"
"Site_1080","2","2","1","65","62","Default","25","100","None","None"
"Site_1080","3","3","1","65","62","Default","25","100","None","None"
"Site_1081","1","1","1","65","62","Default","25","100","None","None"
"Site_1081","2","2","1","65","62","Default","25","100","None","None"
"Site_1081","3","3","1","65","62","Default","25","100","None","None"
"Site_1082","1","1","1","65","62","Default","25","100","None","None"
"Site_1082","2","2","1","65","62","Default","25","100","None","None"
"Site_1082","3","3","1","65","62","Default","25","100","None","None"
"Site_1083","1","1","1","65","62","Default","25","100","None","None"
"Site_1083","2","2","1","65","62","Default","25","100","None","None"
"Site_1083","3","3","1","65","62","Default","25","100","None","None"
"Site_1084","1","1","1","65","62","Default","25","100","None","None"
"Site_1084","2","2","1","65","62","Default","25","100","None","None"
"Site_1084","3","3","1","65","62","Default","25","100","None","None"
"Site_1085","1","1","1","65","62","Default","25","100","None","None"
"Site_1085","2","2","1","65","62","Default","25","100","None","None"
"Site_1085","3","3","1","65","62","Default","25","100","None","None"
"Site_1086","1","1","1","65","62","Default","25","100","None","None"
"Site_1086","2","2","1","65","62","Default","25","100","None","None"
"Site_1086","3","3","1","65","62","Default","25","100","None","None"
"Site_1087","1","1","1","65","62","Default","25","100","None","None"
"Site_1087","2","2","1","65","62","Default","25","100","None","None"
"Site_1087","3","3","1","65","62","Default","25","100","None","None"
"Site_1088","1","1","1","65","62","Default","25","100","None","None"
"Site_1088","2","2","1","65","62","Default","25","100","None","None"
"Site_1088","3","3","1","65","62","Default","25","100","None","None"
"Site_1089","1","1","1","65","62","Default","25","100","None","None"
"Site_1089","2","2","1","65","62","Default","25","100","None","None"
"Site_1089","3","3","1","65","62","Default","25","100","None","None"
"Site_109","1","1","1","65","62","Default","25","100","None","None"
"Site_109","2","2","1","65","62","Default","25","100","None","None"
"Site_109","3","3","1","65","62","Default","25","100","None","None"
"Site_1090","1","1","1","65","62","Default","25","100","None","None"
"Site_1090","2","2","1","65","62","Default","25","100","None","None"
"Site_1090","3","3","1","65","62","Default","25","100","None","None"
"Site_1091","1","1","1","65","62","Default","25","100","None","None"
"Site_1091","2","2","1","65","62","Default","25","100","None","None"
"Site_1091","3","3","1","65","62","Default","25","100","None","None"
"Site_1092","1","1","1","65","62","Default","25","100","None","None"
"Site_1092","2","2","1","65","62","Default","25","100","None","None"
"Site_1092","3","3","1","65","62","Default","25","100","None","None"
"Site_1093","1","1","1","65","62","Default","25","100","None","None"
"Site_1093","2","2","1","65","62","Default","25","100","None","None"
"Site_1093","3","3","1","65","62","Default","25","100","None","None"
"Site_1094","1","1","1","65","62","Default","25","100","None","None"
"Site_1094","2","2","1","65","62","Default","25","100","None","None"
"Site_1094","3","3","1","65","62","Default","25","100","None","None"
"Site_1095","1","1","1","65","62","Default","25","100","None","None"
"Site_1095","2","2","1","65","62","Default","25","100","None","None"
"Site_1095","3","3","1","65","62","Default","25","100","None","None"
"Site_1096","1","1","1","65","62","Default","25","100","None","None"
"Site_1096","2","2","1","65","62","Default","25","100","None","None"
"Site_1096","3","3","1","65","62","Default","25","100","None","None"
